Nom du fichier,Aire du Rectangle,Aire de l'enveloppe,Ratio
test-2.points,131148.4326637041,108504.5,1.2086911848237087,1.1059780684963583
test-3.points,131137.30914447174,107895.0,1.2154159983731567,1.1611816189286137
test-4.points,136811.22700682477,108385.5,1.2622650355151268,1.3853669983078347
test-5.points,137843.2624390244,109802.0,1.2553802520812407,1.147016660484086
test-6.points,133086.6901734104,107586.5,1.2370203526781742,1.123033998341551
test-7.points,137673.3999385183,109617.0,1.2559493503609687,1.170790508359069
test-8.points,134291.64312267647,108907.0,1.2330855052721723,1.1491232985660436
test-9.points,135836.68960728328,106316.5,1.2776632941009465,1.1592963192994263
test-10.points,139903.2581810221,110336.5,1.2679689692986646,1.2229667530776809
test-11.points,129779.34132207048,106610.5,1.2173223211791566,1.279753097848873
test-12.points,134995.76236082846,110306.0,1.223829731481773,1.1580375778941465
test-13.points,137779.14152491142,110441.0,1.2475361643312848,1.1286621656343112
test-14.points,139491.83904422136,108159.0,1.2896923884671767,1.2845671231619131
test-15.points,130911.54321786987,103203.0,1.2684858310114033,1.352860368458996
test-16.points,141150.89406994425,110307.5,1.2796128465421142,1.2440703155958086
test-17.points,143918.37920277292,111797.0,1.287318793910149,1.2342623894913125
test-18.points,131393.17362516088,105053.5,1.2507262835142179,1.3394209714893022
test-19.points,129546.9455709711,101911.5,1.27117102163123,1.384505063532881
test-20.points,142195.47274929346,112136.5,1.2680569908040065,1.1882546526619675
test-21.points,139495.8787281242,112250.5,1.2427194420347722,1.2520988830072952
test-22.points,137125.85191502544,111118.5,1.2340506028701381,1.195138843317917
test-23.points,141951.58615844007,111318.5,1.2751841442207725,1.2298067753742943
test-24.points,130143.85818847199,105240.5,1.2366328380088654,1.1490793367379675
test-25.points,140958.0,113336.5,1.2437123080384518,1.0987692117256531
test-26.points,140896.05435172986,110776.5,1.2718948003568433,1.1400373711972147
test-27.points,140822.2780669144,111213.5,1.2662336682769126,1.225059649289977
test-28.points,133449.73263041064,108794.5,1.22662205010741,1.2133884203440457
test-29.points,125963.7623704283,103058.0,1.2222608858160289,1.4620098836718962
test-30.points,142047.26644649927,110001.0,1.2913270465404794,1.1395207179087963
test-31.points,137286.40767999997,109162.5,1.2576334151379822,1.123500740797121
test-32.points,137674.888015717,110620.5,1.244569388275383,1.1783509316714438
test-33.points,134645.00212494677,108007.5,1.2466264113598293,1.231113626194497
test-34.points,131330.83594281808,104533.5,1.2563516570555668,1.1709961537973312
test-35.points,129545.60457817973,107235.0,1.2080533834865457,1.1801214706950107
test-36.points,136486.29185460327,108927.0,1.2530069849954857,1.2425543428221677
test-37.points,137985.05099150137,107344.5,1.2854412754403008,1.201162999039481
test-38.points,138960.32122671127,111129.5,1.2504359438916874,1.1432480150476956
test-39.points,139092.43358473133,110855.5,1.2547183819001433,1.1355741057980564
test-40.points,137513.86210359607,109364.0,1.257396054493216,1.3543311075806514
test-41.points,140478.88294879012,109705.5,1.280509025972172,1.1249091932860387
test-42.points,130246.51092197654,105026.5,1.2401299759772682,1.2467586260191919
test-43.points,133104.158774617,109020.0,1.2209150502166302,1.1285546434565557
test-44.points,135193.29123811997,107709.0,1.2551717241652969,1.1122601760242712
test-45.points,137594.12447653426,108655.0,1.2663395561781259,1.1396068557836068
test-46.points,134572.9039999999,109293.0,1.231303962742352,1.1446397473632595
test-47.points,143109.77934772088,113921.0,1.2562194797071733,1.1881933217851235
test-48.points,138827.4761153882,107302.5,1.293795355330847,1.1663027162714075
test-49.points,131551.62633996937,104483.0,1.259072062823324,1.2362417716743836
test-50.points,139078.38053097343,111300.5,1.2495755232992973,1.2431767326315881
test-51.points,135629.46867986122,108485.5,1.2502082645133334,1.2647019254818104
test-52.points,137355.89189189184,108985.0,1.260319235600237,1.25069867257193
test-53.points,133508.700433213,102883.5,1.2976687266006017,1.2353328777167794
test-54.points,141276.3995200079,110642.0,1.2768785770323015,1.1671443383114635
test-55.points,138591.33027522935,109289.5,1.2681120352387865,1.1782214797888744
test-56.points,137684.42684980057,109808.5,1.2538594630634292,1.2015110027074085
test-57.points,134831.17474048442,108434.5,1.2434342828203608,1.284436052384544
test-58.points,132802.32812229788,108075.5,1.2287921695694017,1.3187952673814902
test-59.points,142965.29079590878,111407.5,1.2832645090851942,1.1357216285582086
test-60.points,134696.86347989857,106551.0,1.2641539120223984,1.3437070210906508
test-61.points,139078.23529411753,111907.0,1.2428019274407993,1.234484357309404
test-62.points,136298.06784196437,109278.0,1.2472599044818204,1.1759856217964848
test-63.points,141178.90570643882,111258.0,1.2689326224310955,1.2581259694697755
test-64.points,143437.829321663,113215.0,1.2669507514168883,1.1884170347401097
test-65.points,142848.72336627354,111283.0,1.2836526995702267,1.2956038532686813
test-66.points,135767.92107382548,108962.0,1.2460116469395337,1.2620532795432742
test-67.points,132748.36055428497,108700.5,1.2212304502213418,1.1808891599465163
test-68.points,131145.85175754217,106593.0,1.2303420652157475,1.1238527754415617
test-69.points,137223.00000000003,108415.5,1.2657138508792565,1.247000971396379
test-70.points,145881.46054519337,113923.5,1.2805212317493175,1.119226168509324
test-71.points,140167.07080163842,109101.0,1.2847459766788427,1.248490712138171
test-72.points,134449.20547945207,108593.0,1.2381019538962186,1.2646668551448996
test-73.points,140253.5848713726,110630.0,1.267771715369905,1.2471514085631317
test-74.points,135646.32141472108,107139.0,1.2660779120088959,1.1586429576059571
test-75.points,137103.55373189767,108245.5,1.2665981840528953,1.1545139345137618
test-76.points,137250.48880199072,108557.5,1.2643114368145059,1.2460803649354955
test-77.points,142673.8333919157,112676.5,1.2662252855911897,1.0757943958127112
test-78.points,126477.03018867921,101818.0,1.2421873361161997,1.1691695127023125
test-79.points,135072.88015717088,107451.0,1.2570648961589084,1.2378629202590823
test-80.points,136413.46979201058,108049.5,1.262509033285768,1.1465039315667098
test-81.points,126825.34926241424,102788.0,1.2338536527845103,1.2598021224687255
test-82.points,138200.57977103238,109751.5,1.259213584971799,1.2783020129598708
test-83.points,139086.09848283188,112450.5,1.2368650960452099,1.2132596810658987
test-84.points,128858.2678644861,105742.5,1.218604325266436,1.1560875471976035
test-85.points,141244.88539042824,110748.5,1.2753661258656166,1.227192699184354
test-86.points,131514.59510453846,105633.5,1.2450084026803852,1.145868085066843
test-87.points,127068.78892733564,102901.5,1.234858470744699,1.3416271395922845
test-88.points,137835.06599636318,111291.5,1.2385048812924901,1.113233613186917
test-89.points,136795.57798044744,107421.0,1.2734528442338784,1.1380601744469485
test-90.points,134890.3957921049,107329.5,1.2567877032139803,1.1640161763956454
test-91.points,134980.15384615381,110685.0,1.2194981600592114,1.2389874650482708
test-92.points,143134.37837837834,113263.5,1.263729077579082,1.1582254716715201
test-93.points,143211.2194681383,113079.5,1.2664649159939538,1.279130970525948
test-94.points,138898.43462359038,112584.0,1.233731565973765,1.194113444299836
test-95.points,121860.45687558464,104426.0,1.1669551345027545,1.2891127979831274
test-96.points,145923.13569576488,113557.0,1.2850210528260246,1.3078618745293693
test-97.points,134563.07750509263,106780.5,1.260183998998812,1.2936544986896783
test-98.points,137506.2609893713,107733.5,1.2763556460095635,1.363254455707559
test-99.points,126988.39999999998,102345.0,1.2407875323660167,1.1563267387684706
test-100.points,135366.0365853657,109583.5,1.235277542562208,1.2727178773869565
test-101.points,137128.99999999997,109569.5,1.2515252876028453,1.2681612827574655
